asset_id,asset_type,grid_x_x,grid_x_y,grid_y_x,grid_y_y,asset_thumb_id,map_id,asset_name
78,Router,27,37,134,134,3,1,Router MegaNet 118
79,Router,36,31,135,138,3,3,Router MegaNet 119
80,Router,36,12,138,135,3,2,Router MegaNet 120
81,Printer,4,26,139,137,4,2,Printer PrintMaster 101
82,Printer,29,3,136,137,3,2,Printer PrintMaster 102
83,Printer,41,38,140,137,2,2,Printer PrintMaster 103
84,Printer,8,38,143,141,2,4,Printer PrintMaster 104
85,Printer,34,23,139,140,2,3,Printer PrintMaster 105
86,Printer,44,26,144,141,4,1,Printer PrintMaster 106
87,Printer,50,49,144,144,3,3,Printer PrintMaster 107
88,Printer,45,13,144,142,2,1,Printer PrintMaster 108
89,Printer,10,3,147,148,5,3,Printer PrintMaster 109
90,Printer,27,49,146,146,5,4,Printer PrintMaster 110
91,Printer,44,32,145,148,3,1,Printer PrintMaster 111
92,Printer,33,8,147,151,1,1,Printer PrintMaster 112
93,Printer,11,10,148,151,2,4,Printer PrintMaster 113
94,Printer,18,13,150,152,3,3,Printer PrintMaster 114
95,Printer,12,14,151,154,4,5,Printer PrintMaster 115
96,Printer,31,15,155,151,3,3,Printer PrintMaster 116
97,Printer,2,13,152,156,5,4,Printer PrintMaster 117
98,Printer,49,42,156,156,5,5,Printer PrintMaster 118
99,Printer,19,20,155,153,4,5,Printer PrintMaster 119
100,Printer,21,22,156,157,3,2,Printer PrintMaster 120
